ID	Original Text	Translated Text
285	You're a prominent these days, right? You must know what's going on with the Wasted Wing. When I signed my contract with the Colonial Union Research Division of Outpost 448, I saw the fine print about the Code Black protocol. I know that's what happened. Which means, something terrible must have broken out inside the research wing. You don't need to say anything. I know you're not permitted to talk about it. I just hope everyone is all right.	Vous êtes une figure de proue ces jours-ci, non ? Vous devez savoir ce qui se passe avec l'Aile perdue. Quand j'ai signé mon contrat avec la division de recherche de l'Union Coloniale de l'avant-poste 448, j'ai vu les petits caractères sur le protocole du Code Noir. Je sais que c'est ce qui s'est passé. Ce qui veut dire que quelque chose de terrible a dû se produire dans l'aile de recherche. Vous n'avez pas besoin de dire quoi que ce soit. Je sais que vous n'avez pas le droit d'en parler. J'espère juste que tout le monde va bien.
286	I recently returned to Outpost 448 and saw that half the station was destroyed. My research team has been based in the Outpost 448 research wing for years, and I don't know if they're okay. The Command Center representatives say they can't tell me anything about the state of our lab. I'm worried sick, but there's nothing I can do. I'll just stay here for a while, have a drink with a friend, and hope everyone is all right.	Je suis récemment retourné à l'avant-poste 448 et j'ai vu que la moitié de la station avait été détruite. Mon équipe de recherche était basée dans l'aile de recherche de l'avant-poste 448 depuis des années, et je ne sais pas si elle va bien. Les représentants du centre de commandement disent qu'ils ne peuvent rien me dire sur l'état de notre laboratoire. Je suis morte d'inquiétude, mais je ne peux rien faire. Je vais rester ici un moment, prendre un verre avec un ami, et espérer que tout le monde va bien.
287	I worked on a Colonial Union Roland for several years. Never have I seen a ship with as much gusto, except maybe for the W.D. Flagship. But even then, the Roland has a certain vitality that cannot be rivaled. She's a beautiful ship. If you ever have the honor of serving on one, be sure to treat her well.	J'ai travaillé sur un Colonial Union Roland pendant plusieurs années. Je n'ai jamais vu un navire avec autant d'entrain, à l'exception peut-être du vaisseau amiral W.D.. Mais même là, le Roland a une certaine vitalité qui ne peut être égalée. C'est un beau navire. Si vous avez un jour l'honneur de servir sur l'un d'entre eux, assurez-vous de bien le traiter.
288	The Colonial Union Academy has the most prestigious spacefaring curriculum to date. Students of the Academy will be amply prepared for space travel and combat, as well as skilled in their specialized roles onboard a starship. We look for applicants who exhibit leadership, integrity, discipline, and a yearning for discovery.	L'Académie de l'Union coloniale propose le programme d'études spatiales le plus prestigieux à ce jour. Les élèves de l'Académie seront amplement préparés aux voyages et aux combats spatiaux, ainsi qu'à leurs rôles spécialisés à bord d'un vaisseau spatial. Nous recherchons des candidats qui font preuve de leadership, d'intégrité, de discipline et d'une soif de découverte.
289	The Academy	L'Académie
290	Our branch of the Academy was established in Outpost 448 just over thirty Union-standard years ago. We have many excellent instructors who desire to pass on their knowledge to a new generation of pioneers. Some instructors are decorated Colonial Union officers, many of whom once attended the Academy themselves.	Notre branche de l'Académie a été créée à l'avant-poste 448 il y a un peu plus de trente ans, selon les normes de l'Union. Nous avons beaucoup d'excellents instructeurs qui souhaitent transmettre leurs connaissances à une nouvelle génération de pionniers. Certains instructeurs sont des officiers décorés de l'Union coloniale, dont beaucoup ont eux-mêmes fréquenté l'Académie.
291	I don't spread baseless rumors. The officers in the Command Center did what was necessary to protect the people of this station. Trust in them. That's all I have to say on the matter.	Je ne répands pas de rumeurs infondées. Les officiers du centre de commandement ont fait le nécessaire pour protéger les habitants de cette station. Ayez confiance en eux. C'est tout ce que j'ai à dire sur le sujet.
292	If you have access to confidential information from the Command Center, you shouldn't be bringing up such sensitive topics.	Si vous avez accès à des informations confidentielles du centre de commandement, vous ne devriez pas aborder des sujets aussi sensibles.
293	How may I help you?	Comment puis-je vous aider ?
294	What is it you want to know?	Qu'est-ce que vous voulez savoir ?
295	Ask away!	Posez vos questions !
296	I'd be happy to help however I can.	Je serais heureux d'aider comme je peux.
297	This is the enrollment desk for the Academy. Currently, the training facilities are under repair, and we are not accepting applications at this time. We plan to reopen the Academy soon, so please check back later. Regardless, I bid you safe travels. And remember: together, we survive.	C'est le bureau d'inscription de l'Académie. Actuellement, les installations d'entraînement sont en cours de réparation, et nous n'acceptons pas les candidatures pour le moment. Nous prévoyons de rouvrir l'Académie bientôt, alors revenez nous voir plus tard. Quoi qu'il en soit, je vous souhaite un bon voyage. Et rappelez-vous : ensemble, nous survivons.
298	You've been in the Command Center, haven't you? When are they going to tell us what happened to the Wasted Wing? People are getting desperate for answers.	Vous êtes allé au centre de commandement, n'est-ce pas ? Quand vont-ils nous dire ce qui est arrivé à l'Aile perdue ? Les gens sont désespérés et veulent des réponses.
299	Apparently, people are calling it the â€˜Wasted Wingâ€™. It was used for some kind of research. Iâ€™ve heard different versions of what mightâ€™ve happened. But I suppose the only people who really know the truth are in the Command Center.	"Apparemment, les gens l'appellent la ""Wasted Wing"". Il a été utilisé pour une sorte de recherche. J'ai entendu différentes versions de ce qui a pu se passer. Mais je suppose que les seules personnes qui connaissent vraiment la vérité sont au centre de commandement."
300	Destroyed Section of Hub	Section détruite du moyeu
301	Have you seen the cut off section of the hub? Itâ€™s strange, donâ€™t you think? Something must have gone seriously wrong for the Command Center to detach the entire wing.	Vous avez vu la section coupée du moyeu ? C'est étrange, vous ne trouvez pas ? Quelque chose a dû sérieusement mal tourner pour que le centre de commande détache l'aile entière.
302	Have you visited old Gruff and his repair bay? That's a fine operation he's running over there. Best independent trade outpost in the galaxy.	Avez-vous rendu visite au vieux Gruff et à son atelier de réparation ? C'est une belle opération qu'il dirige là-bas. Le meilleur avant-poste commercial indépendant de la galaxie.
303	More topics	Plus de sujets
304	Ask something else	Demandez autre chose
305	It is the base of operations for the Colonial Union within this galaxy. Many of Outpost 448â€™s control systems are located within the Command Center, as well.	C'est la base des opérations de l'Union coloniale dans cette galaxie. La plupart des systèmes de contrôle de l'avant-poste 448 se trouvent également dans le centre de commande.
306	Command Center	Centre de commandement
307	I have seen many influential officers pass through here. But noâ€¦I am not able to enter the Command Center myself.	J'ai vu beaucoup d'officiers influents passer par ici. Mais non, je ne suis pas capable d'entrer dans le centre de commandement moi-même.
308	High-Ranking Officers	Officiers de haut rang
309	How can I assist?	Comment puis-je vous aider ?
310	This is Outpost 448â€™s Command Center. Only exceptionally high-ranking officers of the Colonial Union are allowed through these doors.	Voici le centre de commande de l'avant-poste 448. Seuls les officiers de haut rang de l'Union coloniale sont autorisés à franchir ces portes.
311	Go about your business.	Continuez vos affaires.
312	Welcome, welcome. If youâ€™re looking for beam pistols, youâ€™ve come to the right place. Finest beam pistols in the galaxy. See for yourself.	Bienvenue, bienvenue. Si vous cherchez des pistolets à rayons, vous êtes au bon endroit. Les meilleurs pistolets à rayons de la galaxie. Voyez par vous-même.
313	Welcome, welcome. I have many great beam pistols for sale, if youâ€™d like to take a look.	Bienvenue, bienvenue. J'ai de nombreux pistolets à faisceau à vendre, si vous voulez y jeter un coup d'œil.
314	Pistols for sale. Come make a purchase.	Pistolets à vendre. Venez faire un achat.
315	Greetings, friend. I have many fine goods to assist in your travels. Care to take a look?	Salutations, mon ami. J'ai beaucoup de bonnes marchandises pour vous aider dans vos voyages. Voulez-vous y jeter un coup d'oeil ?
316	What can I do for you?	Que puis-je faire pour vous ?
317	Greetings! Are you in want of biscuits, friend? Biscuit Buddy 403 would be pleased to show you which biscuits are in stock.	Salutations ! Vous avez besoin de biscuits, mon ami ? Biscuit Buddy 403 se fera un plaisir de vous montrer quels biscuits sont en stock.
318	Heh, are you participating in the biscuit sales competition? I pity you. Too many Fluffy Biscuit crews go wild trying to out-sell everyone else. Our captain faked a medical issue so we could stay out of all the madness this year.	Heh, tu participes à la compétition de vente de biscuits ? Je vous plains. Trop d'équipages de Fluffy Biscuit se déchaînent en essayant de vendre plus cher que les autres. Notre capitaine a simulé un problème médical pour pouvoir rester en dehors de toute cette folie cette année.
319	Despite all the concern over the Wasted Wing, I feel safe in Outpost 448. Since our crew usually makes deliveries in the neutral zone, I've learned to appreciate the regulations of the Colonial Union. Everywhere else in the galaxy is practically anarchy. But here, I can rest easy.	Malgré l'inquiétude suscitée par l'Aile perdue, je me sens en sécurité dans l'avant-poste 448. Comme notre équipage effectue généralement des livraisons dans la zone neutre, j'ai appris à apprécier les règlements de l'Union coloniale. Partout ailleurs dans la galaxie, c'est pratiquement l'anarchie. Mais ici, je peux être tranquille.
320	It's nice to see another Fluffy Biscuit crew out here. Don't worry, we're on a break. We won't be posing any competition to you. Good luck with the sales. I hope you sell crates.	C'est sympa de voir une autre équipe de Fluffy Biscuit par ici. Ne vous inquiétez pas, nous faisons une pause. Nous ne vous ferons pas de concurrence. Bonne chance avec les ventes. J'espère que vous vendrez des caisses.
321	Sorry, we're not selling biscuits right now. Go to the shop on the lower level if you want to buy something.	Désolé, nous ne vendons pas de biscuits pour le moment. Allez à la boutique au niveau inférieur si vous voulez acheter quelque chose.
322	The events surrounding the Wasted Wing are most curious. I am aware that details of the accident are classified, but I would be intrigued to hear what an officer of the Command Center like yourself has to say on the matter.	Les événements entourant l'Aile perdue sont très curieux. Je suis conscient que les détails de l'accident sont classifiés, mais je serais intrigué d'entendre ce qu'un officier du centre de commandement comme vous a à dire sur le sujet.
323	The events surrounding the Wasted Wing are most curious. What is the Command Center hiding, I wonder?	Les événements entourant l'Aile perdue sont très curieux. Que cache le centre de commandement, je me le demande ?
324	Thank you for finding my log and letting me know that the situation in the research wing has been resolved. It's some peace of mind at least. I suppose I was lucky to have been fired back then. If not, who knows? I may not be alive today.	Merci d'avoir trouvé mon journal et de m'avoir fait savoir que la situation dans l'aile de recherche a été résolue. C'est une certaine tranquillité d'esprit au moins. Je suppose que j'ai eu de la chance d'avoir été viré à l'époque. Sinon, qui sait ? Je ne serais peut-être pas en vie aujourd'hui.
325	You...found my log? I knew something bad was going on in the Aberrant Organisms lab. But after the tragedy with the research wing, I didn't think anyone would ever confirm my suspicions. Thank you for letting me know, and I'm glad that the situation in the wing has been resolved. It's some peace of mind at least. I suppose I was lucky to have been fired back then. If not, who knows? I may not be alive today.	Tu as... trouvé mon journal de bord ? Je savais qu'il se passait quelque chose de grave dans le laboratoire des Organismes Aberrants. Mais après la tragédie de l'aile de recherche, je ne pensais pas que quelqu'un pourrait un jour confirmer mes soupçons. Merci de m'avoir informé, et je suis heureux que la situation dans l'aile ait été résolue. C'est une certaine tranquillité d'esprit au moins. Je suppose que j'ai eu de la chance d'avoir été renvoyé à l'époque. Sinon, qui sait ? Je ne serais peut-être pas en vie aujourd'hui.
326	Log from Wasted Wing	Journal de bord de l'Aile perdue
327	Greetings, officer. Have you come to buy yourself some biscuits? I've heard that some of them are quite energizing.	Salutations, officier. Êtes-vous venu vous acheter des biscuits ? J'ai entendu dire que certains d'entre eux sont assez énergisants.
328	I'm a fan of your products. Perhaps I'll have to take a tour of your factories one of these days.	Je suis un fan de vos produits. Il faudra peut-être que j'aille visiter vos usines un de ces jours.
329	Hello there. Have you come to buy yourself some biscuits? I've heard that some of them are quite energizing.	Bonjour à tous. Êtes-vous venu vous acheter des biscuits ? J'ai entendu dire que certains d'entre eux sont assez énergisants.
330	Work has been tough. With all the mayhem over the Lost Colony and the Infected, lawlessness in the galaxy has gotten out of hand lately. It's nice to just sit down and enjoy a biscuit after a difficult assignment.	Le travail a été difficile. Avec tout le grabuge autour de la colonie perdue et des infectés, l'anarchie dans la galaxie est devenue incontrôlable ces derniers temps. C'est agréable de s'asseoir et de déguster un biscuit après une mission difficile.
331	I always have difficulty choosing which biscuit to buy. And to think, this shop has a limited selection of flavors.	J'ai toujours du mal à choisir quel biscuit acheter. Et dire que ce magasin n'a qu'une sélection limitée de saveurs.
332	Safe travels.	Bon voyage.
333	Take care of that shipment. Safe travels.	Prenez soin de cette cargaison. Bon voyage.
334	You're the ones they sent to smuggle out the meds? Good, I can't keep hiding them for much longer. The Colonial Union has been keeping a close watch on their medical supplies as of late. When I received a message from the Estate, I wasn't sure I'd be able to get ahold of these. We got lucky. Make sure you take good care of this shipment.	Vous êtes ceux qu'ils ont envoyés pour faire passer les médicaments ? Bien, je ne peux pas les cacher plus longtemps. L'Union coloniale a surveillé de près son matériel médical ces derniers temps. Quand j'ai reçu un message du Domaine, je n'étais pas sûr de pouvoir mettre la main dessus. On a eu de la chance. Prenez bien soin de cette cargaison.
335	Medical Supplies	Fournitures médicales
336	Need something?	Besoin de quelque chose ?
337	Not interested in talking. Get out of here.	Je n'ai pas envie de parler. Sortez d'ici.
338	When youâ€™re looking to trade, Iâ€™ll be here.	Quand vous chercherez à échanger, je serai là.
339	Accept	Accepter
340	Then get lost.	Alors va te perdre.
341	Decline	Déclin
342	â€¦Iâ€™m looking for something. A crystal, called borthix. If you manage to get your hands on a couple samples, Iâ€™ll buy from you. Just keep your lips tight about it. Understand?	Je cherche quelque chose. Un cristal, appelé borthix. Si tu réussis à mettre la main sur quelques échantillons, je t'en achèterai. Mais garde tes lèvres serrées à ce sujet. Tu as compris ?
343	â€¦Good doing business with you.	C'est bien de faire des affaires avec vous.
344	Trade Crystals	Cristaux de commerce
345	â€¦If you have the samples, Iâ€™m willing to trade.	Si vous avez les échantillons, je suis prêt à échanger.
346	...Not buying right now.	...Je n'achète pas en ce moment.
347	...Nothing to see here.	...Rien à voir ici.
348	What can I get for you, friend?	Que puis-je faire pour vous, mon ami ?
349	What would you like to order?	Que voulez-vous commander ?
350	Good, good. Iâ€™m very pleased to do business with you. Here is the sector information for your crewâ€™s starmap. Remember, I am not accountable for any damages you accrue on your journey there. Bring me the artifact, and youâ€™ll be paid. Ah, and do watch your step.	Bien, bien. Je suis très heureux de faire affaire avec vous. Voici les informations du secteur pour la carte starmaceutique de votre équipage. Rappelez-vous, je ne suis pas responsable des dommages que vous subirez pendant votre voyage. Apportez-moi l'artefact, et vous serez payé. Ah, et faites attention où vous mettez les pieds.
351	So be it. However, this offer will not last forever.	Qu'il en soit ainsi. Toutefois, cette offre ne durera pas éternellement.
352	I have a contact who is willing to pay generously for alien artifacts. Recently, I may have stumbled upon the location of some ruins, fairly undisturbed. They will undoubtedly contain just the kind of artifacts my interested buyer is looking for. Very valuable. Priceless, even. If you bring me an artifact from that location, Iâ€™ll handle the tedious details of the exchange and give you a slice of the profit. What do you say?	J'ai un contact qui est prêt à payer généreusement pour des artefacts extraterrestres. Récemment, j'ai peut-être découvert par hasard l'emplacement de quelques ruines, assez intactes. Elles contiendront sans doute exactement le genre d'artefacts que recherche mon acheteur intéressé. Très précieux. Inestimable, même. Si vous m'apportez un artefact de cet endroit, je m'occuperai des détails fastidieux de l'échange et je vous donnerai une part du bénéfice. Qu'est-ce que vous en dites ?
353	So be it. However, this offer will not last forever.	Qu'il en soit ainsi. Toutefois, cette offre ne durera pas éternellement.
354	Another Time	Une autre fois
355	Hello, my friend. How would you like to help me out with a job and earn some good credits? Iâ€™ll let you in on secret.	Bonjour, mon ami. Que dirais-tu de m'aider à trouver un travail et à gagner quelques bons crédits ? Je vais te confier un secret.
356	Ah, wonderful! This will do just fine. Good work. In fact, I may seek out your services in the future.	Ah, merveilleux ! Cela fera très bien l'affaire. Bon travail. En fait, je pourrais faire appel à vos services à l'avenir.
357	Do you have the artifact?	Vous avez l'artefact ?
358	Perfect. Iâ€™ve happened upon another location that houses an alien artifact, much like the previous one you procured for me. Iâ€™ll provide you with its coordinates. Go retrieve it. Now, thereâ€™s a small catchâ€”we may not be the first ones to have discovered it. But a little healthy competition never did any harm, correct? Yes, of course. Do your best to secure that artifact. And donâ€™t come back here without it.	Parfait. Je suis tombé sur un autre endroit qui abrite un artefact alien, un peu comme le précédent que vous m'avez procuré. Je vais vous donner ses coordonnées. Allez le récupérer. Maintenant, il y a un petit piège - nous ne sommes peut-être pas les premiers à l'avoir découvert. Mais une petite compétition saine n'a jamais fait de mal, n'est-ce pas ? Oui, bien sur. Faites de votre mieux pour sécuriser cet artefact. Et ne revenez pas ici sans lui.
359	Well, thatâ€™s unfortunate. If you arenâ€™t interested, please donâ€™t waste my time.	Eh bien, c'est malheureux. Si vous n'êtes pas intéressé, ne me faites pas perdre mon temps.
360	Ah, one of my good friends has returned! If youâ€™re looking for another job, youâ€™re in luck. Since you did so spectacularly well on the last task I gave you, I have arranged another of a similar vein. Care to be let in on the deal?	Ah, un de mes bons amis est revenu ! Si vous cherchez un autre travail, vous avez de la chance. Puisque vous avez fait si spectaculairement bien sur la dernière tÃ¢che que je vous ai donnée, j'en ai arrangé une autre de la mÃªme veine. Voulez-vous faire partie de l'accord ?
361	This will do, this will do! Beautiful, isnâ€™t it? Take these credits for your troubles. Just keep your lips tight about it.	Ça fera l'affaire, ça fera l'affaire ! Magnifique, n'est-ce pas ? Prends ces crédits pour tes problèmes. Garde juste tes lèvres serrées à ce sujet.
362	I donâ€™t want to see you around here until youâ€™ve brought me my artifact. Soâ€¦do you have it, or not?	Je ne veux pas te voir ici jusqu'à ce que tu m'apportes mon artefact. Alors... vous l'avez, ou pas ?
363	Wonderful choice. Allow me to send you the coordinates. According to my source, it may take a littleâ€¦effort to get to the artifact. But youâ€™re a capable lot! I wholeheartedly believe you can surmount whatever hellfire might be thrown at you. Good luck. And donâ€™t make me wait too long.	Merveilleux choix. Permettez-moi de vous envoyer les coordonnées. Selon ma source, il faudra un peu d'effort pour atteindre l'artefact. Mais vous êtes tous capables ! Je crois de tout coeur que vous pouvez surmonter n'importe quel feu de l'enfer pourrait être jeté sur vous. Bonne chance. Et ne me faites pas attendre trop longtemps.
364	I have to admit, Iâ€™m rather disappointed in you. I truly believed we could accomplish great things together. Well then, off you go. I donâ€™t need useless crewmen crowding my establishment.	Je dois admettre que je suis plutôt déçu par vous. Je croyais vraiment que nous pourrions accomplir de grandes choses ensemble. Bien, alors, partez. Je n'ai pas besoin d'équipiers inutiles pour encombrer mon établissement.
365	We meet again, my friend. You may have already guessed, but I have my eyes set on another ancient curiosity. And given your successful performance in the past, you are most certainly the crew to go fetch it. How about it?	Nous nous rencontrons à nouveau, mon ami. Vous l'avez peut-être déjà deviné, mais j'ai les yeux rivés sur une autre ancienne curiosité. Et étant donné vos performances dans le passé, vous êtes certainement l'équipe qui doit aller la chercher. Qu'est-ce que vous en pensez ?
366	My good friend, youâ€™ve done it again. Anything I request, you bring me without fail. You are truly a remarkable plunderer. Daring and competent with absolutely no regard for the sanctity of relics of dead cultures. I see so much of myself in you. Now, Iâ€™m sure youâ€™re eager to receive your payment. Take a bonus. And do keep yourself alive until next time.	Mon bon ami, tu l'as encore fait. Tout ce que je demande, tu me l'apportes sans faute. Tu es vraiment un remarquable pilleur. Audacieux et compétent avec absolument aucun égard pour la sainteté des reliques de cultures mortes. Je vois tellement de moi-même en vous. Maintenant, je suis sûr que vous êtes impatient de recevoir votre paiement. Prenez un bonus. Et restez en vie jusqu'à la prochaine fois.
367	Is the artifact important? Perhaps it once wasâ€”a tremendously long time ago. But if the civilization that produced it really valued it so much, they wouldnâ€™t have died off and left it behind. Donâ€™t you agree? No, no. Thereâ€™s no disrespect here. Letâ€™s be civil. Itâ€™s not like weâ€™re ransacking graves. I like to think of it as cleaning out old rubbish for those who canâ€™t do it themselves any longer. Speaking of which, do you have the artifact yet?	L'artefact est-il important ? Peut-être qu'il l'était autrefois, il y a très longtemps. Mais si la civilisation qui l'a produit y attachait tant d'importance, elle ne se serait pas éteinte en le laissant derrière elle. Vous n'êtes pas d'accord ? Non, non. Il n'y a pas de manque de respect ici. Soyons civilisés. C'est pas comme si on pillait les tombes. J'aime penser qu'on nettoie les vieilles ordures pour ceux qui ne peuvent plus le faire eux-mêmes. En parlant de ça, tu as déjà l'artefact ?
368	Spectacular. A few weeks ago, I sent a team to retrieve a particular alien artifact, but they refused to continue the job. They claimed to have nearly broken their regeneration atrium trying to ^find the right path^. I'm not sure what they were complaining about, but I doubt it's anything you can't handle. Happy hunting. I'll see you soon.	Spectaculaire. Il y a quelques semaines, j'ai envoyé une équipe pour récupérer un artefact extraterrestre particulier, mais ils ont refusé de continuer le travail. Ils prétendaient avoir presque brisé leur atrium de régénération en essayant de ^trouver le bon chemin^. Je ne suis pas sûr de ce dont ils se plaignaient, mais je doute que ce soit quelque chose que vous ne puissiez pas gérer. Bonne chasse. On se revoit bientôt.
369	I have one last job for you, my good friend. Once again, there is an artifact that needs retrieving, and I'm prepared to give you something special in return. Are you up to the task?	J'ai un dernier travail pour vous, mon bon ami. Une fois de plus, il y a un artefact qui doit être récupéré, et je suis prêt à vous donner quelque chose de spécial en retour. Etes-vous prêt pour cette tâche ?
370	You are the greatest crew I've ever had the pleasure of sending off to the far reaches of space. As compensation for all your great work, take this Lost Colony data fragment. I'm sure you'll figure out what to do with it. Though I have no more jobs for you, I have absolute confidence that you'll thrive in any and all of your endeavors. Now get out of here. I have a lot of business to take care of.	Vous êtes le meilleur équipage que j'ai jamais eu le plaisir d'envoyer aux confins de l'espace. En compensation de tout votre travail, prenez ce fragment de données de la colonie perdue. Je suis sûr que vous trouverez quoi en faire. Bien que je n'aie plus de travail pour vous, j'ai une confiance absolue dans le fait que vous vous épanouirez dans toutes vos entreprises. Maintenant, sortez d'ici. J'ai beaucoup d'affaires à régler.
371	Tell me, do you have the artifact yet? I'm very eager to get my hands on it.	Dis-moi, tu as déjà l'artefact ? Je suis très impatient de mettre la main dessus.
372	Though I have no more jobs for you, I have absolute confidence that you'll thrive in any and all of your endeavors. Now get out of here. I have a lot of business to take care of.	Bien que je n'aie plus de travail pour vous, j'ai une confiance absolue dans le fait que vous vous épanouirez dans tout ce que vous entreprendrez. Maintenant, sortez d'ici. J'ai beaucoup d'affaires à régler.
373	Visit again soon, my friend.	Revenez nous voir bientôt, mon ami.
374	Drift, yes! Of course! I was practicing drifting just the other day when I brought our ship into the repair depot. I'll master drift. Just you wait and see. If the Ion Races open up for participants next year, I'm going to win.	Le drift, oui ! Bien sûr ! Je me suis entraîné à la dérive l'autre jour quand j'ai amené notre vaisseau au dépôt de réparation. Je vais maîtriser la dérive. Il suffit d'attendre et de voir. Si les courses d'ions sont ouvertes aux participants l'année prochaine, je vais gagner.
375	Utilize Drift	Utiliser la dérive
376	Reactor heat? I guess that's good advice. I'll admit, I don't watch the reactor temperature very often. But you won the Ion Races, so you must know what you're talking about. Next year, I'm going to win. Maybe I'll even beat your record.	La chaleur du réacteur ? Je suppose que c'est un bon conseil. Je dois admettre que je ne regarde pas souvent la température du réacteur. Mais vous avez gagné les courses d'ions, donc vous devez savoir de quoi vous parlez. L'année prochaine, je vais gagner. Peut-être même que je battrai votre record.
377	Watch Reactor Heat	Regarder Reactor Heat
378	...You're joking, right? What kind of advice is that? I mean, sure, respect is important and all, but it's not going to help me win any races... Is it?	...Vous plaisantez, n'est-ce pas ? Quel genre de conseil est-ce là ? Je veux dire, bien sûr, le respect est important et tout, mais ça ne va pas m'aider à gagner des courses... Si ?
379	Respect Your Crewmates	Respectez vos coéquipiers
380	You... You're the winner of the Ion Races! Please, tell me how you did it. Do you have any advice for an aspiring racing pilot like me?	Vous... Tu es le vainqueur des Courses d'ions ! S'il vous plaît, dites-moi comment vous avez fait. Avez-vous des conseils pour un pilote de course en herbe comme moi ?
381	Have you ever heard of the Ion Races? I've always wanted to participate. In fact, that's the reason I became a pilot. But now that I've finally joined a crew, they refuse to do any racing. All they want is for me to transport them from one sector to the next, loading and offloading cargo. How drab a life is that? Ships are racing as we speak. I should be there.	Avez-vous déjà entendu parler des Courses d'ions ? J'ai toujours voulu y participer. En fait, c'est la raison pour laquelle je suis devenu pilote. Mais maintenant que j'ai enfin rejoint un équipage, ils refusent de faire des courses. Tout ce qu'ils veulent, c'est que je les transporte d'un secteur à l'autre, en chargeant et déchargeant des marchandises. C'est une vie bien morne, non ? Des vaisseaux sont en course en ce moment même. Je devrais y être.
382	Vokas sent you with the sealed box? Well, Iâ€™m glad you made it here. Itâ€™s a relief to get this shipment in. Youâ€™re probably expecting payment, arenâ€™t you? Take six thousandâ€¦with an extra two thousand for your discretion. Thanks for your assistance, and I hope the stars favor your voyages.	Vokas t'a envoyé avec la boîte scellée ? Eh bien, je suis content que vous soyez arrivé jusqu'ici. C'est un soulagement de faire entrer cette cargaison. Tu attends probablement un paiement, n'est-ce pas ? Prenez six mille... avec un supplément de deux mille pour votre discrétion. Merci pour votre aide, et j'espère que les étoiles favoriseront vos voyages.
383	That's truly unfortunate. Vokas should've run the shipment himself.	C'est vraiment malheureux. Vokas aurait dû diriger l'expédition lui-même.
384	Vokas sent you with the sealed box? Well, where is it? Did you lose it?	Vokas vous a envoyé avec la boîte scellée ? Eh bien, où est-elle ? Tu l'as perdue ?
385	The weather is clear on Karattis.	Le temps est clair sur Karattis.
386	What class of ship are you travelling on, friend? Whatever it is, better hope it's a reliable vessel. You'll need a ship you can trust out there.	Sur quelle classe de navire voyagez-vous, mon ami ? Quoi que ce soit, j'espère que c'est un vaisseau fiable. Vous aurez besoin d'un navire en qui vous pouvez avoir confiance là-bas.
387	Thank you. I am in your debt. Iâ€™ll put a marker of the location on your crewâ€™s starmap. Iâ€™m afraid even I donâ€™t know what lies on that planetâ€™s surface. From what Iâ€™ve been able to deduce with outside knowledge, the planet appears to be barren. However, there is a possibility of native life, which is most likely what my friend was studying there. Donâ€™t take any chances. Please, prepare yourselves wisely before you reach the surface. Knowing my friend, he could just as easily be on an expedition outside of his camp range. I can just imagine him, with that ridiculous Union Research medal still pinned to his suit, fumbling with his communicator to get the damn thing to work another stretch from base. But if Iâ€™ve learned anything from my time in the field, itâ€™s that the worst case scenario is usually the correct one.	Merci. J'ai une dette envers vous. Je vais mettre un marqueur de l'emplacement sur la carte starmaceutique de votre équipage. J'ai peur que mÃªme moi, je ne sache pas ce qu'il y a Ã la surface de cette planète. D'après ce que j'ai pu déduire des connaissances extérieures, la planète semble être stérile. Cependant, il y a une possibilité de vie indigène, ce qui est très probablement ce que mon ami étudiait là-bas. Ne prenez pas de risques. S'il vous plaît, préparez-vous sagement avant d'atteindre la surface. Connaissant mon ami, il pourrait tout aussi bien être en expédition en dehors de son camp. Je peux l'imaginer, avec cette ridicule médaille de l'Union Research toujours épinglée à sa combinaison, en train de tâtonner avec son communicateur pour faire fonctionner ce fichu truc à une autre distance de la base. Mais si j'ai appris quelque chose de mon temps sur le terrain, c'est que le pire scénario est souvent le bon.
388	Well, then Iâ€™ll have to find someone else who will listen. Take care.	Eh bien, alors je vais devoir trouver quelqu'un d'autre qui écoutera. Prenez soin de vous.
389	Do you have planetside experience? If so, I could use your help. A friend of mine was working with a research team on a recently discovered planet. I was their sole contact at Outpost 448, since they had been trying to keep their discovery a secret from other research teams on base. However, I havenâ€™t received word from them in a few weeks now. Iâ€™m getting concerned that something went wrong on that planet. Could you go there and find them?	Avez-vous une expérience de Planetside ? Si oui, j'aurais besoin de votre aide. Un de mes amis travaillait avec une équipe de recherche sur une planète récemment découverte. J'étais leur seul contact à l'avant-poste 448, car ils avaient essayé de garder leur découverte secrète pour les autres équipes de recherche de la base. Cependant, je n'ai pas reçu de nouvelles d'eux depuis quelques semaines maintenant. Je commence à penser que quelque chose a mal tourné sur cette planète. Pourriez-vous y aller et les trouver ?
390	â€¦I see. He was a good man. Iâ€™m sorry to hear he and his team didnâ€™t survive. Thank you, for bringing his medal to me. Please take these credits for your efforts. Iâ€™ll report this incident to the Union officers. May you have better luck on your voyages.	Je vois. C'était un homme bon. Je suis désolé d'entendre que lui et son équipe n'ont pas survécu. Merci, pour m'avoir apporté sa médaille. S'il vous plaît prenez ces crédits pour vos efforts. Je vais rapporter cet incident aux officiers de l'Union. Puissiez-vous avoir plus de chance dans vos voyages.
391	Do you have any news about my friendâ€™s research team?	Avez-vous des nouvelles de l'équipe de recherche de mon ami ?
